case,grader,radius_um,cc_id,area_px,area_mm2
abe 20250409,g2,10,281,5,0.00022222222
abe 20250409,g2,10,291,7,0.00031111111
abe 20250409,g2,10,292,12,0.00053333333
abe 20250409,g2,10,296,3,0.00013333333
abe 20250409,g2,10,297,2,8.8888889e-05
abe 20250409,g2,10,301,6,0.00026666667
abe 20250409,g2,10,302,11,0.00048888889
abe 20250409,g2,10,306,12,0.00053333333
abe 20250409,g2,10,308,5,0.00022222222
abe 20250409,g2,10,309,7,0.00031111111
abe 20250409,g2,10,311,13,0.00057777778
abe 20250409,g2,10,313,3,0.00013333333
abe 20250409,g2,10,314,16,0.00071111111
abe 20250409,g2,10,319,4,0.00017777778
abe 20250409,g2,10,323,2,8.8888889e-05
abe 20250409,g2,10,324,1,4.4444444e-05
abe 20250409,g2,10,328,1,4.4444444e-05
abe 20250409,g2,10,332,6,0.00026666667
abe 20250409,g1,20,1,30,0.0013333333
abe 20250409,g1,20,2,14,0.00062222222
abe 20250409,g1,20,3,6,0.00026666667
abe 20250409,g1,20,8,19,0.00084444444
abe 20250409,g1,20,11,1,4.4444444e-05
abe 20250409,g1,20,12,1,4.4444444e-05
abe 20250409,g1,20,16,2,8.8888889e-05
abe 20250409,g1,20,18,6,0.00026666667
abe 20250409,g1,20,23,32,0.0014222222
abe 20250409,g1,20,25,15,0.00066666667
abe 20250409,g1,20,27,1,4.4444444e-05
abe 20250409,g1,20,28,2,8.8888889e-05
abe 20250409,g1,20,34,17,0.00075555556
abe 20250409,g1,20,35,2,8.8888889e-05
abe 20250409,g1,20,39,16,0.00071111111
abe 20250409,g1,20,40,5,0.00022222222
abe 20250409,g1,20,43,15,0.00066666667
abe 20250409,g1,20,44,20,0.00088888889
abe 20250409,g1,20,49,7,0.00031111111
abe 20250409,g1,20,50,8,0.00035555556
abe 20250409,g1,20,51,3,0.00013333333
abe 20250409,g1,20,56,1,4.4444444e-05
abe 20250409,g1,20,59,3,0.00013333333
abe 20250409,g1,20,60,5,0.00022222222
abe 20250409,g1,20,63,12,0.00053333333
abe 20250409,g1,20,66,3,0.00013333333
abe 20250409,g1,20,67,5,0.00022222222
abe 20250409,g1,20,68,1,4.4444444e-05
abe 20250409,g1,20,70,4,0.00017777778
abe 20250409,g1,20,73,2,8.8888889e-05
abe 20250409,g1,20,78,11,0.00048888889
abe 20250409,g1,20,81,8,0.00035555556
abe 20250409,g1,20,83,10,0.00044444444
abe 20250409,g1,20,84,12,0.00053333333
abe 20250409,g1,20,85,20,0.00088888889
abe 20250409,g1,20,91,1,4.4444444e-05
abe 20250409,g1,20,100,13,0.00057777778
abe 20250409,g1,20,104,2,8.8888889e-05
abe 20250409,g1,20,114,1,4.4444444e-05
abe 20250409,g1,20,121,3,0.00013333333
abe 20250409,g1,20,135,4,0.00017777778
abe 20250409,g1,20,143,8,0.00035555556
abe 20250409,g1,20,162,1,4.4444444e-05
abe 20250409,g1,20,172,5,0.00022222222
abe 20250409,g1,20,177,5,0.00022222222
abe 20250409,g1,20,195,1,4.4444444e-05
abe 20250409,g1,20,197,9,0.0004
abe 20250409,g1,20,198,4,0.00017777778
abe 20250409,g1,20,204,16,0.00071111111
abe 20250409,g1,20,206,1,4.4444444e-05
abe 20250409,g1,20,207,1,4.4444444e-05
abe 20250409,g1,20,209,19,0.00084444444
abe 20250409,g1,20,215,27,0.0012
abe 20250409,g1,20,218,16,0.00071111111
abe 20250409,g1,20,224,5,0.00022222222
abe 20250409,g1,20,233,5,0.00022222222
abe 20250409,g1,20,242,5,0.00022222222
abe 20250409,g1,20,261,2,8.8888889e-05
abe 20250409,g1,20,266,1,4.4444444e-05
abe 20250409,g1,20,272,1,4.4444444e-05
abe 20250409,g1,20,273,3,0.00013333333
abe 20250409,g1,20,280,5,0.00022222222
abe 20250409,g1,20,283,4,0.00017777778
abe 20250409,g1,20,284,4,0.00017777778
abe 20250409,g1,20,293,2,8.8888889e-05
abe 20250409,g1,20,305,2,8.8888889e-05
abe 20250409,g1,20,312,2,8.8888889e-05
abe 20250409,g1,20,316,15,0.00066666667
abe 20250409,g1,20,320,45,0.002
abe 20250409,g1,20,323,5,0.00022222222
abe 20250409,g1,20,328,2,8.8888889e-05
abe 20250409,g1,20,337,5,0.00022222222
abe 20250409,g1,20,346,5,0.00022222222
abe 20250409,g1,20,347,13,0.00057777778
abe 20250409,g1,20,348,13,0.00057777778
abe 20250409,g1,20,353,3,0.00013333333
abe 20250409,g1,20,359,6,0.00026666667
abe 20250409,g1,20,366,1,4.4444444e-05
